full_path,domain,label_prod_code,splimprint,is_front,reader,pred_raw,exact,side_match,token_recall,token_set,cer,contains,pred_norm,gt_norm
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-3238-30_PART_1_OF_1_CHAL10_SB_361E1B30.jpg,reference,2-3238,LILLY;3238;18;mg,False,qwen,Yellow; 100,0,0,0.0,0,0.7692307692307693,0,YELLOW 100,LILLY 3238 18 MG
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-3238-30_PART_1_OF_1_CHAL10_SF_361E1B30.jpg,reference,2-3238,LILLY;3238;18;mg,True,qwen,Lilly 3238 18 mg,1,1,1.0,1,0.0,1,LILLY 3238 18 MG,LILLY 3238 18 MG
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-3250-30_PART_1_OF_1_CHAL10_SB_431E21C1.jpg,reference,2-3250,LILLY;3250;80;mg,False,qwen,Orange,0,0,0.0,0,1.0,0,ORANGE,LILLY 3250 80 MG
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-3250-30_PART_1_OF_1_CHAL10_SF_431E21C1.jpg,reference,2-3250,LILLY;3250;80;mg,True,qwen,Lilly 3250 80 mg,1,1,1.0,1,0.0,1,LILLY 3250 80 MG,LILLY 3250 80 MG
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-4463-30_PART_1_OF_1_CHAL10_SB_B5155ACA.jpg,reference,2-4463,C;10,False,qwen,,0,0,0.0,0,1.0,0,,C 10
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-4463-30_PART_1_OF_1_CHAL10_SF_B5155ACA.jpg,reference,2-4463,C;10,True,qwen,Z10,0,0,0.0,0,0.3333333333333333,0,Z10,C 10
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-4464-30_PART_1_OF_1_CHAL10_SB_B8155C1A.jpg,reference,2-4464,C;20,False,qwen,,0,0,0.0,0,1.0,0,,C 20
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-4464-30_PART_1_OF_1_CHAL10_SF_B8155C1A.jpg,reference,2-4464,C;20,True,qwen,C20,0,0,0.0,0,0.0,1,C20,C 20
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00003-4222-16_PART_1_OF_1_CHAL10_SB_F215F93F.jpg,reference,3-4222,2;5;1000;4222,False,qwen,2.5/1000,0,0,0.75,0,0.4,0,2 5 1000,2 5 1000 4222
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00003-4222-16_PART_1_OF_1_CHAL10_SF_F215F93F.jpg,reference,3-4222,2;5;1000;4222,True,qwen,4222,0,1,0.25,0,0.6,0,4222,2 5 1000 4222
