full_path,domain,label_prod_code,splimprint,is_front
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-3238-30_PART_1_OF_1_CHAL10_SB_361E1B30.jpg,reference,2-3238,LILLY;3238;18;mg,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-3238-30_PART_1_OF_1_CHAL10_SF_361E1B30.jpg,reference,2-3238,LILLY;3238;18;mg,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-3250-30_PART_1_OF_1_CHAL10_SB_431E21C1.jpg,reference,2-3250,LILLY;3250;80;mg,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-3250-30_PART_1_OF_1_CHAL10_SF_431E21C1.jpg,reference,2-3250,LILLY;3250;80;mg,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-4463-30_PART_1_OF_1_CHAL10_SB_B5155ACA.jpg,reference,2-4463,C;10,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-4463-30_PART_1_OF_1_CHAL10_SF_B5155ACA.jpg,reference,2-4463,C;10,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-4464-30_PART_1_OF_1_CHAL10_SB_B8155C1A.jpg,reference,2-4464,C;20,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-4464-30_PART_1_OF_1_CHAL10_SF_B8155C1A.jpg,reference,2-4464,C;20,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00003-4222-16_PART_1_OF_1_CHAL10_SB_F215F93F.jpg,reference,3-4222,2;5;1000;4222,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00003-4222-16_PART_1_OF_1_CHAL10_SF_F215F93F.jpg,reference,3-4222,2;5;1000;4222,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00007-4892-20_PART_1_OF_1_CHAL10_SB_BE18DF56.jpg,reference,7-4892,SB;4892,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00007-4892-20_PART_1_OF_1_CHAL10_SF_BE18DF56.jpg,reference,7-4892,SB;4892,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00023-9350-07_PART_1_OF_1_CHAL10_SB_D4196A7B.jpg,reference,23-9350,SAN;60,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00023-9350-07_PART_1_OF_1_CHAL10_SF_D4196A7B.jpg,reference,23-9350,SAN;60,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00037-2250-10_PART_1_OF_1_CHAL10_SB_BD1D5EFA.jpg,reference,37-2250,SOMA;250,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00037-2250-10_PART_1_OF_1_CHAL10_SF_BD1D5EFA.jpg,reference,37-2250,SOMA;250,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00054-0017-25_PART_1_OF_1_CHAL10_SB_F7217BFB.jpg,reference,54-17,54;899,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00054-0017-25_PART_1_OF_1_CHAL10_SF_F7217BFB.jpg,reference,54-17,54;899,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00054-0166-25_PART_1_OF_1_CHAL10_SB_6A1DB56D.jpg,reference,54-166,54;135,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00054-0166-25_PART_1_OF_1_CHAL10_SF_6A1DB56D.jpg,reference,54-166,54;135,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00054-4182-25_PART_1_OF_1_CHAL10_SB_77233BF9.jpg,reference,54-4182,54;943,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00054-4182-25_PART_1_OF_1_CHAL10_SF_77233BF9.jpg,reference,54-4182,54;943,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00056-0176-70_PART_1_OF_1_CHAL10_SB_99134CAA.jpg,reference,56-176,2;1;2;COUMADIN,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00056-0176-70_PART_1_OF_1_CHAL10_SF_99134CAA.jpg,reference,56-176,2;1;2;COUMADIN,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00062-2085-12_PART_1_OF_1_CHAL10_SB_06130328.jpg,reference,62-2085,A,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00062-2085-12_PART_1_OF_1_CHAL10_SF_06130328.jpg,reference,62-2085,A,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00069-4210-30_PART_1_OF_1_CHAL10_SB_641DB26D.jpg,reference,69-4210,VGR50;Pfizer,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00069-4210-30_PART_1_OF_1_CHAL10_SF_641DB26D.jpg,reference,69-4210,VGR50;Pfizer,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00074-5182-19_PART_1_OF_1_CHAL10_SB_AF1D57AA.jpg,reference,74-5182,SYNTHROID;75,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00074-5182-19_PART_1_OF_1_CHAL10_SF_AF1D57AA.jpg,reference,74-5182,SYNTHROID;75,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00074-6594-90_PART_1_OF_1_CHAL10_SB_AB1D55FA.jpg,reference,74-6594,SYNTHROID;88,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00074-6594-90_PART_1_OF_1_CHAL10_SF_AB1D55FA.jpg,reference,74-6594,SYNTHROID;88,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00074-7068-19_PART_1_OF_1_CHAL10_SB_A31D51AA.jpg,reference,74-7068,SYNTHROID;125,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00074-7068-19_PART_1_OF_1_CHAL10_SF_A31D51AA.jpg,reference,74-7068,SYNTHROID;125,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00075-7700-60_PART_1_OF_1_CHAL10_SB_E51C72E3.jpg,reference,75-7700,RPR;202,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00075-7700-60_PART_1_OF_1_CHAL10_SF_E51C72E3.jpg,reference,75-7700,RPR;202,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00078-0358-34_PART_1_OF_1_CHAL10_SB_EA15750B.jpg,reference,78-358,NVR;DV,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00078-0358-34_PART_1_OF_1_CHAL10_SF_EA15750B.jpg,reference,78-358,NVR;DV,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00078-0359-34_PART_1_OF_1_CHAL10_SB_EC15765B.jpg,reference,78-359,NVR;DX,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00078-0359-34_PART_1_OF_1_CHAL10_SF_EC15765B.jpg,reference,78-359,NVR;DX,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00078-0486-15_PART_1_OF_1_CHAL10_SB_E61D736B.jpg,reference,78-486,NVR;IU,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00078-0486-15_PART_1_OF_1_CHAL10_SF_E61D736B.jpg,reference,78-486,NVR;IU,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00078-0521-15_PART_1_OF_1_CHAL10_SB_E51D72AB.jpg,reference,78-521,NVR;LCI,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00078-0521-15_PART_1_OF_1_CHAL10_SF_E51D72AB.jpg,reference,78-521,NVR;LCI,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0027-01_PART_1_OF_1_CHAL10_SB_1D298EAC.jpg,reference,93-27,93;27,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0027-01_PART_1_OF_1_CHAL10_SF_1D298EAC.jpg,reference,93-27,93;27,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0039-01_PART_1_OF_1_CHAL10_SB_4F29A7CD.jpg,reference,93-39,9;3;39,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0039-01_PART_1_OF_1_CHAL10_SF_4F29A7CD.jpg,reference,93-39,9;3;39,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0051-01_PART_1_OF_1_CHAL10_SB_3E281F50.jpg,reference,93-51,TV;51,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0051-01_PART_1_OF_1_CHAL10_SB_A022D026.jpg,reference,93-51,TV;51,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0051-01_PART_1_OF_1_CHAL10_SF_3E281F50.jpg,reference,93-51,TV;51,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0051-01_PART_1_OF_1_CHAL10_SF_A022D026.jpg,reference,93-51,TV;51,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0083-98_PART_1_OF_1_CHAL10_SB_3B299DDC.jpg,reference,93-83,93;83,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0083-98_PART_1_OF_1_CHAL10_SF_3B299DDC.jpg,reference,93-83,93;83,True
