full_path,domain,label_prod_code,splimprint,is_front,reader,pred_raw,exact,side_match,token_recall,token_set,cer,contains,pred_norm,gt_norm
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-3238-30_PART_1_OF_1_CHAL10_SB_361E1B30.jpg,reference,2-3238,LILLY;3238;18;mg,False,qwen,B 1,0,0,0.0,0,0.9230769230769231,0,B 1,LILLY 3238 18 MG
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-3238-30_PART_1_OF_1_CHAL10_SF_361E1B30.jpg,reference,2-3238,LILLY;3238;18;mg,True,qwen,LILLY 3238 18 MG,1,1,1.0,1,0.0,1,LILLY 3238 18 MG,LILLY 3238 18 MG
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-3250-30_PART_1_OF_1_CHAL10_SB_431E21C1.jpg,reference,2-3250,LILLY;3250;80;mg,False,qwen,G341,0,0,0.0,0,0.9230769230769231,0,G341,LILLY 3250 80 MG
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-3250-30_PART_1_OF_1_CHAL10_SF_431E21C1.jpg,reference,2-3250,LILLY;3250;80;mg,True,qwen,LILLY 3250 80 MG,1,1,1.0,1,0.0,1,LILLY 3250 80 MG,LILLY 3250 80 MG
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-4463-30_PART_1_OF_1_CHAL10_SB_B5155ACA.jpg,reference,2-4463,C;10,False,qwen,B 1,0,0,0.0,0,0.6666666666666666,0,B 1,C 10
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-4463-30_PART_1_OF_1_CHAL10_SF_B5155ACA.jpg,reference,2-4463,C;10,True,qwen,10,0,1,0.5,0,0.3333333333333333,0,10,C 10
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-4464-30_PART_1_OF_1_CHAL10_SB_B8155C1A.jpg,reference,2-4464,C;20,False,qwen,GOLDEN,0,0,0.0,0,2.0,0,GOLDEN,C 20
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-4464-30_PART_1_OF_1_CHAL10_SF_B8155C1A.jpg,reference,2-4464,C;20,True,qwen,C 20,1,1,1.0,1,0.0,1,C 20,C 20
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00003-4222-16_PART_1_OF_1_CHAL10_SB_F215F93F.jpg,reference,3-4222,2;5;1000;4222,False,qwen,2 5 1000,0,0,0.75,0,0.4,0,2 5 1000,2 5 1000 4222
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00003-4222-16_PART_1_OF_1_CHAL10_SF_F215F93F.jpg,reference,3-4222,2;5;1000;4222,True,qwen,4222,0,1,0.25,0,0.6,0,4222,2 5 1000 4222
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00007-4892-20_PART_1_OF_1_CHAL10_SB_BE18DF56.jpg,reference,7-4892,SB;4892,False,qwen,4892,0,1,0.5,0,0.3333333333333333,0,4892,SB 4892
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00007-4892-20_PART_1_OF_1_CHAL10_SF_BE18DF56.jpg,reference,7-4892,SB;4892,True,qwen,SB,0,1,0.5,0,0.6666666666666666,0,SB,SB 4892
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00023-9350-07_PART_1_OF_1_CHAL10_SB_D4196A7B.jpg,reference,23-9350,SAN;60,False,qwen,G342,0,0,0.0,0,1.0,0,G342,SAN 60
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00023-9350-07_PART_1_OF_1_CHAL10_SF_D4196A7B.jpg,reference,23-9350,SAN;60,True,qwen,SAN 60,1,1,1.0,1,0.0,1,SAN 60,SAN 60
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00037-2250-10_PART_1_OF_1_CHAL10_SB_BD1D5EFA.jpg,reference,37-2250,SOMA;250,False,qwen,G342,0,0,0.0,0,0.8571428571428571,0,G342,SOMA 250
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00037-2250-10_PART_1_OF_1_CHAL10_SF_BD1D5EFA.jpg,reference,37-2250,SOMA;250,True,qwen,SOMA 250,1,1,1.0,1,0.0,1,SOMA 250,SOMA 250
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00054-0017-25_PART_1_OF_1_CHAL10_SB_F7217BFB.jpg,reference,54-17,54;899,False,qwen,B 1,0,0,0.0,0,1.0,0,B 1,54 899
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00054-0017-25_PART_1_OF_1_CHAL10_SF_F7217BFB.jpg,reference,54-17,54;899,True,qwen,54 899,1,1,1.0,1,0.0,1,54 899,54 899
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00054-0166-25_PART_1_OF_1_CHAL10_SB_6A1DB56D.jpg,reference,54-166,54;135,False,qwen,N,0,0,0.0,0,1.0,0,N,54 135
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00054-0166-25_PART_1_OF_1_CHAL10_SF_6A1DB56D.jpg,reference,54-166,54;135,True,qwen,54 135,1,1,1.0,1,0.0,1,54 135,54 135
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00054-4182-25_PART_1_OF_1_CHAL10_SB_77233BF9.jpg,reference,54-4182,54;943,False,qwen,D,0,0,0.0,0,1.0,0,D,54 943
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00054-4182-25_PART_1_OF_1_CHAL10_SF_77233BF9.jpg,reference,54-4182,54;943,True,qwen,54 943,1,1,1.0,1,0.0,1,54 943,54 943
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00056-0176-70_PART_1_OF_1_CHAL10_SB_99134CAA.jpg,reference,56-176,2;1;2;COUMADIN,False,qwen,M B,0,0,0.0,0,0.9090909090909091,0,M B,2 1 2 COUMADIN
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00056-0176-70_PART_1_OF_1_CHAL10_SF_99134CAA.jpg,reference,56-176,2;1;2;COUMADIN,True,qwen,2 1 2 COUMADIN,1,1,1.0,1,0.0,1,2 1 2 COUMADIN,2 1 2 COUMADIN
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00062-2085-12_PART_1_OF_1_CHAL10_SB_06130328.jpg,reference,62-2085,A,False,qwen,B 1,0,0,0.0,0,2.0,0,B 1,A
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00062-2085-12_PART_1_OF_1_CHAL10_SF_06130328.jpg,reference,62-2085,A,True,qwen,A,1,1,1.0,1,0.0,1,A,A
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00069-4210-30_PART_1_OF_1_CHAL10_SB_641DB26D.jpg,reference,69-4210,VGR50;Pfizer,False,qwen,VGR 50,0,0,0.0,0,0.5454545454545454,0,VGR 50,VGR50 PFIZER
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00069-4210-30_PART_1_OF_1_CHAL10_SF_641DB26D.jpg,reference,69-4210,VGR50;Pfizer,True,qwen,PFIZER,0,1,0.5,0,0.45454545454545453,0,PFIZER,VGR50 PFIZER
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00074-5182-19_PART_1_OF_1_CHAL10_SB_AF1D57AA.jpg,reference,74-5182,SYNTHROID;75,False,qwen,I 75,0,0,0.5,0,0.7272727272727273,0,I 75,SYNTHROID 75
