full_path,domain,label_prod_code,splimprint,is_front,reader,pred_raw,exact,side_match,token_recall,token_set,cer,contains,pred_norm,gt_norm
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00056-0176-70_PART_1_OF_1_CHAL10_SB_99134CAA.jpg,reference,56-176,2;1;2;COUMADIN,False,tesseract,E,0,0,0.0,0,1.0,0,E,2 1 2 COUMADIN
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00056-0176-70_PART_1_OF_1_CHAL10_SF_99134CAA.jpg,reference,56-176,2;1;2;COUMADIN,True,tesseract,,0,0,0.0,0,1.0,0,,2 1 2 COUMADIN
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0147-01_PART_1_OF_1_CHAL10_SB_212990BC.jpg,reference,93-147,93;147,False,tesseract,S35 <,0,0,0.0,0,0.8,0,S35,93 147
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0147-01_PART_1_OF_1_CHAL10_SF_212990BC.jpg,reference,93-147,93;147,True,tesseract,( ) ) ),0,0,0.0,0,1.0,0,,93 147
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-2931-01_PART_1_OF_1_CHAL10_SB_4A2B2559.jpg,reference,93-2931,N11,False,tesseract,),0,0,0.0,0,1.0,0,,N11
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-2931-01_PART_1_OF_1_CHAL10_SF_4A2B2559.jpg,reference,93-2931,N11,True,tesseract,¢,0,0,0.0,0,1.0,0,,N11
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-5062-05_PART_1_OF_1_CHAL10_SB_942D4A5A.jpg,reference,93-5062,TV;309,False,tesseract,,0,0,0.0,0,1.0,0,,TV 309
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-5062-05_PART_1_OF_1_CHAL10_SF_942D4A5A.jpg,reference,93-5062,TV;309,True,tesseract,@,0,0,0.0,0,1.0,0,,TV 309
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00172-5240-60_PART_1_OF_1_CHAL10_SB_A12DD0FE.jpg,reference,172-5240,5240;1;mg,False,tesseract,[,0,0,0.0,0,1.0,0,,5240 1 MG
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00172-5240-60_PART_1_OF_1_CHAL10_SF_A12DD0FE.jpg,reference,172-5240,5240;1;mg,True,tesseract,,0,0,0.0,0,1.0,0,,5240 1 MG
