full_path,domain,label_prod_code,splimprint,is_front
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00056-0176-70_PART_1_OF_1_CHAL10_SB_99134CAA.jpg,reference,56-176,2;1;2;COUMADIN,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00056-0176-70_PART_1_OF_1_CHAL10_SF_99134CAA.jpg,reference,56-176,2;1;2;COUMADIN,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0147-01_PART_1_OF_1_CHAL10_SB_212990BC.jpg,reference,93-147,93;147,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0147-01_PART_1_OF_1_CHAL10_SF_212990BC.jpg,reference,93-147,93;147,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-2931-01_PART_1_OF_1_CHAL10_SB_4A2B2559.jpg,reference,93-2931,N11,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-2931-01_PART_1_OF_1_CHAL10_SF_4A2B2559.jpg,reference,93-2931,N11,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-5062-05_PART_1_OF_1_CHAL10_SB_942D4A5A.jpg,reference,93-5062,TV;309,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-5062-05_PART_1_OF_1_CHAL10_SF_942D4A5A.jpg,reference,93-5062,TV;309,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00172-5240-60_PART_1_OF_1_CHAL10_SB_A12DD0FE.jpg,reference,172-5240,5240;1;mg,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00172-5240-60_PART_1_OF_1_CHAL10_SF_A12DD0FE.jpg,reference,172-5240,5240;1;mg,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00378-1140-01_PART_1_OF_1_CHAL10_SB_B8235C0A.jpg,reference,378-1140,M;B1,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00378-1140-01_PART_1_OF_1_CHAL10_SF_B8235C0A.jpg,reference,378-1140,M;B1,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00378-6231-01_PART_1_OF_1_CHAL10_SB_6B2135D9.jpg,reference,378-6231,MX31,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00378-6231-01_PART_1_OF_1_CHAL10_SF_6B2135D9.jpg,reference,378-6231,MX31,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00555-0323-02_PART_1_OF_1_CHAL10_SB_E72B73EB.jpg,reference,555-323,barr;323;25,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00555-0323-02_PART_1_OF_1_CHAL10_SF_E72B73EB.jpg,reference,555-323,barr;323;25,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00555-0980-37_PART_1_OF_1_CHAL10_SB_96304B32.jpg,reference,555-980,b;980,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00555-0980-37_PART_1_OF_1_CHAL10_SF_96304B32.jpg,reference,555-980,b;980,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/50111-0326-01_PART_1_OF_1_CHAL10_SB_9C2F4E4A.jpg,reference,50111-326,PLIVA;326,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/50111-0326-01_PART_1_OF_1_CHAL10_SF_9C2F4E4A.jpg,reference,50111-326,PLIVA;326,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/50111-0901-01_PART_1_OF_1_CHAL10_SB_8B3245D2.jpg,reference,50111-901,PA1000,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/50111-0901-01_PART_1_OF_1_CHAL10_SF_8B3245D2.jpg,reference,50111-901,PA1000,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/51672-4032-01_PART_1_OF_1_CHAL10_SB_E52672E3.jpg,reference,51672-4032,5;WARFARIN;TARO,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/51672-4032-01_PART_1_OF_1_CHAL10_SF_E52672E3.jpg,reference,51672-4032,5;WARFARIN;TARO,True
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/63459-0416-30_PART_1_OF_1_CHAL10_SB_8F2D47EA.jpg,reference,63459-416,C;416,False
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/63459-0416-30_PART_1_OF_1_CHAL10_SF_8F2D47EA.jpg,reference,63459-416,C;416,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/0004-0259_0_0.jpg,reference,4-259,CellCept;250;Roche,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/0004-0259_0_1.jpg,reference,4-259,CellCept;250;Roche,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/0093-5552_0_0.jpg,reference,93-5552,TEVA;5552,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/0093-5552_0_1.jpg,reference,93-5552,TEVA;5552,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/0173-0644_0_0.jpg,reference,173-644,LAMICTAL;200,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/0173-0644_0_1.jpg,reference,173-644,LAMICTAL;200,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/0173-0809_0_0.jpg,reference,173-809,GZ;7CZ,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/0173-0809_0_1.jpg,reference,173-809,GZ;7CZ,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/0378-2302_0_0.jpg,reference,378-2302,MYLAN;2302,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/0378-2302_0_1.jpg,reference,378-2302,MYLAN;2302,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/0456-2020_0_0.jpg,reference,456-2020,F;L;20,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/0456-2020_0_1.jpg,reference,456-2020,F;L;20,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/0555-0171_0_0.jpg,reference,555-171,b;171,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/0555-0171_0_1.jpg,reference,555-171,b;171,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/0555-1054_0_0.jpg,reference,555-1054,barr;934,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/0555-1054_0_1.jpg,reference,555-1054,barr;934,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/0603-0024_0_0.jpg,reference,603-24,AZ013,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/0603-0024_0_1.jpg,reference,603-24,AZ013,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/0615-7622_0_0.jpg,reference,615-7622,93;7386;93;7386,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/0615-7622_0_1.jpg,reference,615-7622,93;7386;93;7386,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/0615-7916_0_0.jpg,reference,615-7916,93;11,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/0615-7916_0_1.jpg,reference,615-7916,93;11,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/10544-533_0_0.jpg,reference,10544-533,PLIVA;441,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/10544-533_0_1.jpg,reference,10544-533,PLIVA;441,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/15338-100_0_0.jpg,reference,15338-100,west;ward;3142,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/15338-100_0_1.jpg,reference,15338-100,west;ward;3142,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/16714-571_0_0.jpg,reference,16714-571,B;50,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/16714-571_0_1.jpg,reference,16714-571,B;50,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/21130-198_0_0.jpg,reference,21130-198,44;198,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/21130-198_0_1.jpg,reference,21130-198,44;198,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/21695-800_0_0.jpg,reference,21695-800,SZ467,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/21695-800_0_1.jpg,reference,21695-800,SZ467,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/50090-0152_0_0.jpg,reference,50090-152,GG21,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/50090-0152_0_1.jpg,reference,50090-152,GG21,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/50090-0800_0_0.jpg,reference,50090-800,3671,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/50090-0800_0_1.jpg,reference,50090-800,3671,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/50268-087_0_0.jpg,reference,50268-87,I;94,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/50268-087_0_1.jpg,reference,50268-87,I;94,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/50268-636_0_0.jpg,reference,50268-636,KU;180,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/50268-636_0_1.jpg,reference,50268-636,KU;180,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/50436-4777_0_0.jpg,reference,50436-4777,PLIVA;456,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/50436-4777_0_1.jpg,reference,50436-4777,PLIVA;456,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/52125-190_0_0.jpg,reference,52125-190,93;148,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/52125-190_0_1.jpg,reference,52125-190,93;148,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/53808-0551_0_0.jpg,reference,53808-551,P;20,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/53808-0551_0_1.jpg,reference,53808-551,P;20,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/54458-927_0_0.jpg,reference,54458-927,TEVA;771,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/54458-927_0_1.jpg,reference,54458-927,TEVA;771,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/54868-6190_0_0.jpg,reference,54868-6190,WATSON;411;100;mg,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/54868-6190_0_1.jpg,reference,54868-6190,WATSON;411;100;mg,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/55289-016_0_0.jpg,reference,55289-16,2103;V,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/55289-016_0_1.jpg,reference,55289-16,2103;V,False
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/55700-001_0_0.jpg,reference,55700-1,WATSON;657,True
D:/ePillID_data/ePillID_data\classification_data\segmented_nih_pills_224/55700-001_0_1.jpg,reference,55700-1,WATSON;657,False
