full_path,domain,label_prod_code,splimprint,is_front,reader,pred_raw,exact,side_match,token_recall,token_set,cer,contains,pred_norm,gt_norm
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00056-0176-70_PART_1_OF_1_CHAL10_SB_99134CAA.jpg,reference,56-176,2;1;2;COUMADIN,False,qwen,,0,0,0.0,0,1.0,0,,2 1 2 COUMADIN
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00056-0176-70_PART_1_OF_1_CHAL10_SF_99134CAA.jpg,reference,56-176,2;1;2;COUMADIN,True,qwen,COUMADIN 2 2,0,0,0.75,0,0.45454545454545453,0,COUMADIN 2 2,2 1 2 COUMADIN
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0147-01_PART_1_OF_1_CHAL10_SB_212990BC.jpg,reference,93-147,93;147,False,qwen,147,0,1,0.5,0,0.4,0,147,93 147
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-0147-01_PART_1_OF_1_CHAL10_SF_212990BC.jpg,reference,93-147,93;147,True,qwen,93,0,1,0.5,0,0.6,0,93,93 147
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-2931-01_PART_1_OF_1_CHAL10_SB_4A2B2559.jpg,reference,93-2931,N11,False,qwen,,0,0,0.0,0,1.0,0,,N11
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00093-2931-01_PART_1_OF_1_CHAL10_SF_4A2B2559.jpg,reference,93-2931,N11,True,qwen,N 1,0,0,0.0,0,0.3333333333333333,0,N 1,N11
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00172-5240-60_PART_1_OF_1_CHAL10_SB_A12DD0FE.jpg,reference,172-5240,5240;1;mg,False,qwen,240 mg,0,0,0.3333333333333333,0,0.2857142857142857,0,240 MG,5240 1 MG
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00172-5240-60_PART_1_OF_1_CHAL10_SF_A12DD0FE.jpg,reference,172-5240,5240;1;mg,True,qwen,524,0,0,0.0,0,0.5714285714285714,0,524,5240 1 MG
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00378-6231-01_PART_1_OF_1_CHAL10_SB_6B2135D9.jpg,reference,378-6231,MX31,False,qwen,,0,0,0.0,0,1.0,0,,MX31
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00378-6231-01_PART_1_OF_1_CHAL10_SF_6B2135D9.jpg,reference,378-6231,MX31,True,qwen,MX31,1,1,1.0,1,0.0,1,MX31,MX31
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00555-0323-02_PART_1_OF_1_CHAL10_SB_E72B73EB.jpg,reference,555-323,barr;323;25,False,qwen,,0,0,0.0,0,1.0,0,,BARR 323 25
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00555-0323-02_PART_1_OF_1_CHAL10_SF_E72B73EB.jpg,reference,555-323,barr;323;25,True,qwen,BARR 323 25,1,1,1.0,1,0.0,1,BARR 323 25,BARR 323 25
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00555-0980-37_PART_1_OF_1_CHAL10_SB_96304B32.jpg,reference,555-980,b;980,False,qwen,Orange,0,0,0.0,0,1.5,0,ORANGE,B 980
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00555-0980-37_PART_1_OF_1_CHAL10_SF_96304B32.jpg,reference,555-980,b;980,True,qwen,980,0,1,0.5,0,0.25,0,980,B 980
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/50111-0326-01_PART_1_OF_1_CHAL10_SB_9C2F4E4A.jpg,reference,50111-326,PLIVA;326,False,qwen,,0,0,0.0,0,1.0,0,,PLIVA 326
D:/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/50111-0326-01_PART_1_OF_1_CHAL10_SF_9C2F4E4A.jpg,reference,50111-326,PLIVA;326,True,qwen,PLIVA 326,1,1,1.0,1,0.0,1,PLIVA 326,PLIVA 326
