full_path,domain,label_prod_code,splimprint,is_front,reader,pred_raw,exact,side_match,token_recall,token_set,cer,contains,pred_norm,gt_norm
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-4463-30_PART_1_OF_1_CHAL10_SB_B5155ACA.jpg,reference,2-4463,C;10,False,qwen,B 1,0,0,0.0,0,0.6666666666666666,0,B 1,C 10
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-4463-30_PART_1_OF_1_CHAL10_SF_B5155ACA.jpg,reference,2-4463,C;10,True,qwen,10,0,1,0.5,0,0.3333333333333333,0,10,C 10
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-4464-30_PART_1_OF_1_CHAL10_SB_B8155C1A.jpg,reference,2-4464,C;20,False,qwen,GOLDEN,0,0,0.0,0,2.0,0,GOLDEN,C 20
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-4464-30_PART_1_OF_1_CHAL10_SF_B8155C1A.jpg,reference,2-4464,C;20,True,qwen,C 20,1,1,1.0,1,0.0,1,C 20,C 20
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00023-9350-07_PART_1_OF_1_CHAL10_SB_D4196A7B.jpg,reference,23-9350,SAN;60,False,qwen,G342,0,0,0.0,0,1.0,0,G342,SAN 60
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00023-9350-07_PART_1_OF_1_CHAL10_SF_D4196A7B.jpg,reference,23-9350,SAN;60,True,qwen,SAN 60,1,1,1.0,1,0.0,1,SAN 60,SAN 60
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00037-2250-10_PART_1_OF_1_CHAL10_SB_BD1D5EFA.jpg,reference,37-2250,SOMA;250,False,qwen,G342,0,0,0.0,0,0.8571428571428571,0,G342,SOMA 250
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00037-2250-10_PART_1_OF_1_CHAL10_SF_BD1D5EFA.jpg,reference,37-2250,SOMA;250,True,qwen,SOMA 250,1,1,1.0,1,0.0,1,SOMA 250,SOMA 250
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00056-0176-70_PART_1_OF_1_CHAL10_SB_99134CAA.jpg,reference,56-176,2;1;2;COUMADIN,False,qwen,M B,0,0,0.0,0,0.9090909090909091,0,M B,2 1 2 COUMADIN
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00056-0176-70_PART_1_OF_1_CHAL10_SF_99134CAA.jpg,reference,56-176,2;1;2;COUMADIN,True,qwen,2 1 2 COUMADIN,1,1,1.0,1,0.0,1,2 1 2 COUMADIN,2 1 2 COUMADIN
