full_path,domain,label_prod_code,splimprint,is_front
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-4463-30_PART_1_OF_1_CHAL10_SB_B5155ACA.jpg,reference,2-4463,C;10,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-4463-30_PART_1_OF_1_CHAL10_SF_B5155ACA.jpg,reference,2-4463,C;10,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-4464-30_PART_1_OF_1_CHAL10_SB_B8155C1A.jpg,reference,2-4464,C;20,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00002-4464-30_PART_1_OF_1_CHAL10_SF_B8155C1A.jpg,reference,2-4464,C;20,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00023-9350-07_PART_1_OF_1_CHAL10_SB_D4196A7B.jpg,reference,23-9350,SAN;60,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00023-9350-07_PART_1_OF_1_CHAL10_SF_D4196A7B.jpg,reference,23-9350,SAN;60,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00037-2250-10_PART_1_OF_1_CHAL10_SB_BD1D5EFA.jpg,reference,37-2250,SOMA;250,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00037-2250-10_PART_1_OF_1_CHAL10_SF_BD1D5EFA.jpg,reference,37-2250,SOMA;250,True
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00056-0176-70_PART_1_OF_1_CHAL10_SB_99134CAA.jpg,reference,56-176,2;1;2;COUMADIN,False
D:/Data/ePillID_data/ePillID_data\classification_data\fcn_mix_weight/dr_224/00056-0176-70_PART_1_OF_1_CHAL10_SF_99134CAA.jpg,reference,56-176,2;1;2;COUMADIN,True
