image,imprint
D:\CURE_crops\.\0/bottom/Customer/0_bottom_26.png,
D:\CURE_crops\.\0/bottom/Customer/0_bottom_30.png,T
D:\CURE_crops\.\0/bottom/Customer/0_bottom_35.png,T
D:\CURE_crops\.\0/top/Customer/0_top_0.png,B
D:\CURE_crops\.\0/top/Customer/0_top_13.png,B
D:\CURE_crops\.\0/top/Customer/0_top_14.png,B
D:\CURE_crops\.\0/top/Customer/0_top_8.png,B
D:\CURE_crops\.\0/top/Customer/0_top_9.png,M
D:\CURE_crops\.\1/bottom/Customer/1_bottom_57.png,
D:\CURE_crops\.\1/bottom/Customer/1_bottom_59.png,T
D:\CURE_crops\.\1/top/Customer/1_top_41.png,TJ
D:\CURE_crops\.\1/top/Customer/1_top_47.png,T
D:\CURE_crops\.\10/bottom/Customer/10_bottom_457.png,W
D:\CURE_crops\.\10/bottom/Customer/10_bottom_464.png,
D:\CURE_crops\.\10/bottom/Customer/10_bottom_467.png,
D:\CURE_crops\.\10/bottom/Customer/10_bottom_473.png,
D:\CURE_crops\.\10/top/Customer/10_top_432.png,B34
D:\CURE_crops\.\10/top/Customer/10_top_433.png,HA 28
D:\CURE_crops\.\10/top/Customer/10_top_441.png,TAP 28
D:\CURE_crops\.\10/top/Customer/10_top_446.png,R
D:\CURE_crops\.\10/top/Customer/10_top_447.png,T
D:\CURE_crops\.\100/bottom/Customer/100_bottom_4439.png,T
D:\CURE_crops\.\100/bottom/Customer/100_bottom_4440.png,RED
D:\CURE_crops\.\100/bottom/Customer/100_bottom_4442.png,RED
D:\CURE_crops\.\100/bottom/Customer/100_bottom_4443.png,T
D:\CURE_crops\.\100/top/Customer/100_top_4405.png,D X
D:\CURE_crops\.\100/top/Customer/100_top_4409.png,X C
D:\CURE_crops\.\100/top/Customer/100_top_4412.png,D
D:\CURE_crops\.\100/top/Customer/100_top_4418.png,
D:\CURE_crops\.\101/bottom/Customer/101_bottom_4469.png,D10
D:\CURE_crops\.\101/bottom/Customer/101_bottom_4476.png,PL0
D:\CURE_crops\.\101/bottom/Customer/101_bottom_4486.png,T
D:\CURE_crops\.\101/top/Customer/101_top_4454.png,D NW
D:\CURE_crops\.\101/top/Customer/101_top_4459.png,T
D:\CURE_crops\.\101/top/Customer/101_top_4462.png,M D
D:\CURE_crops\.\101/top/Customer/101_top_4464.png,B
D:\CURE_crops\.\101/top/Customer/101_top_4465.png,M D
D:\CURE_crops\.\102/bottom/Customer/102_bottom_4513.png,W
D:\CURE_crops\.\102/bottom/Customer/102_bottom_4516.png,T
