query_img,read_imprint,visual_top1_class,visual_top1_imprint,true_class,true_imprint
1056.jpg,T DE 718,00074-9189-90_DF1DEFBF,135,51285-0538-02_9F304FB2,OP 718
1163.jpg,15 A,68462-0361-01_D222E917,IG 276,65862-0050-30_012180AC,A 15
1458.jpg,TV 7296,00093-7295-01_31281890,TV 7295,00093-7296-01_F727FBEF,TV 7296
1458.jpg,TV 7296,00093-7295-01_31281890,TV 7295,00093-7296-01_F727FBEF,TV 7296
1841.jpg,TEVA 4068 T 1,00093-2075-01_C326E187,TEVA 8815,00093-4068-01_CC26E637,TEVA 4068
1870.jpg,347 3147 RED,00071-1015-68_5215A92D,PFIZER PGN 100,00093-3147-01_24231258,TEVA 3147
2052.jpg,PA46 L,00555-1883-02_92324902,PA83,50111-0851-01_873243C2,PA46
2052.jpg,PA46 G3,00555-1883-02_92324902,PA83,50111-0851-01_873243C2,PA46
2225.jpg,T PLIVA 328,50111-0467-01_54302A61,PLIVA 467,50111-0328-01_55212A99,PLIVA 328
2327.jpg,M 495 T,4138a56f96023a25529a6f31fd3bce82bd70ff0dff67ace1d4470cb3,ELN 30,00378-3495-01_15238AEC,M 495
2373.jpg,TEVA 1084 7238,00093-7239-98_A71DD3FE,TEVA 7239,00093-7238-98_731DB9BD,TEVA 7238
2373.jpg,TEVA 1084 7238,00093-7239-98_A71DD3FE,TEVA 7239,00093-7238-98_731DB9BD,TEVA 7238
