image,imprint
D:\ogyeiv2_crops\.\0/u/acc_long_600_mg_u_000.png,E 1
D:\ogyeiv2_crops\.\0/u/acc_long_600_mg_u_001.png,M
D:\ogyeiv2_crops\.\0/u/acc_long_600_mg_u_002.png,M
D:\ogyeiv2_crops\.\0/u/acc_long_600_mg_u_003.png,T
D:\ogyeiv2_crops\.\0/u/acc_long_600_mg_u_004.png,T
D:\ogyeiv2_crops\.\0/u/acc_long_600_mg_u_005.png,T
D:\ogyeiv2_crops\.\0/u/acc_long_600_mg_u_006.png,T
D:\ogyeiv2_crops\.\0/u/acc_long_600_mg_u_007.png,T
D:\ogyeiv2_crops\.\0/u/acc_long_600_mg_u_008.png,T
D:\ogyeiv2_crops\.\0/u/acc_long_600_mg_u_009.png,T
D:\ogyeiv2_crops\.\0/u/acc_long_600_mg_u_010.png,T
D:\ogyeiv2_crops\.\0/u/acc_long_600_mg_u_011.png,B
D:\ogyeiv2_crops\.\0/u/acc_long_600_mg_u_012.png,B 1
D:\ogyeiv2_crops\.\0/u/acc_long_600_mg_u_013.png,T
D:\ogyeiv2_crops\.\0/u/acc_long_600_mg_u_014.png,T
D:\ogyeiv2_crops\.\0/u/acc_long_600_mg_u_015.png,AS
D:\ogyeiv2_crops\.\0/u/acc_long_600_mg_u_016.png,T
D:\ogyeiv2_crops\.\0/u/acc_long_600_mg_u_017.png,T
D:\ogyeiv2_crops\.\0/u/acc_long_600_mg_u_018.png,T
D:\ogyeiv2_crops\.\0/u/acc_long_600_mg_u_019.png,T
D:\ogyeiv2_crops\.\10/u/atorvastatin_teva_20_mg_u_000.png,20
D:\ogyeiv2_crops\.\10/u/atorvastatin_teva_20_mg_u_001.png,20
D:\ogyeiv2_crops\.\10/u/atorvastatin_teva_20_mg_u_002.png,T
D:\ogyeiv2_crops\.\10/u/atorvastatin_teva_20_mg_u_003.png,20
D:\ogyeiv2_crops\.\10/u/atorvastatin_teva_20_mg_u_004.png,20
D:\ogyeiv2_crops\.\10/u/atorvastatin_teva_20_mg_u_005.png,20
D:\ogyeiv2_crops\.\10/u/atorvastatin_teva_20_mg_u_006.png,T
D:\ogyeiv2_crops\.\10/u/atorvastatin_teva_20_mg_u_007.png,20
D:\ogyeiv2_crops\.\10/u/atorvastatin_teva_20_mg_u_008.png,T
D:\ogyeiv2_crops\.\10/u/atorvastatin_teva_20_mg_u_009.png,20
D:\ogyeiv2_crops\.\10/u/atorvastatin_teva_20_mg_u_010.png,G342
D:\ogyeiv2_crops\.\10/u/atorvastatin_teva_20_mg_u_011.png,AS
D:\ogyeiv2_crops\.\10/u/atorvastatin_teva_20_mg_u_012.png,T
D:\ogyeiv2_crops\.\10/u/atorvastatin_teva_20_mg_u_013.png,AS
D:\ogyeiv2_crops\.\10/u/atorvastatin_teva_20_mg_u_014.png,T
D:\ogyeiv2_crops\.\10/u/atorvastatin_teva_20_mg_u_015.png,AS
D:\ogyeiv2_crops\.\10/u/atorvastatin_teva_20_mg_u_016.png,B 1
D:\ogyeiv2_crops\.\10/u/atorvastatin_teva_20_mg_u_017.png,B 1
D:\ogyeiv2_crops\.\10/u/atorvastatin_teva_20_mg_u_018.png,AS
D:\ogyeiv2_crops\.\10/u/atorvastatin_teva_20_mg_u_019.png,B 1
D:\ogyeiv2_crops\.\103/u/urotrin_u_000.png,G3
D:\ogyeiv2_crops\.\103/u/urotrin_u_001.png,N
D:\ogyeiv2_crops\.\103/u/urotrin_u_002.png,L1
D:\ogyeiv2_crops\.\103/u/urotrin_u_003.png,G3
D:\ogyeiv2_crops\.\103/u/urotrin_u_004.png,M
D:\ogyeiv2_crops\.\103/u/urotrin_u_005.png,L1
D:\ogyeiv2_crops\.\103/u/urotrin_u_006.png,LINE
D:\ogyeiv2_crops\.\103/u/urotrin_u_007.png,G3
D:\ogyeiv2_crops\.\103/u/urotrin_u_008.png,G3
D:\ogyeiv2_crops\.\103/u/urotrin_u_009.png,M
D:\ogyeiv2_crops\.\103/u/urotrin_u_010.png,N
D:\ogyeiv2_crops\.\103/u/urotrin_u_011.png,N
