query_idx,imprint,mean_logprob,nonempty
0,S L,-0.5683319688541815,1
1,S MACARON,-0.2234622529358603,1
2,S MACARON,-0.22700518957572058,1
3,MACARON 759,-0.11992084751545917,1
4,MACARON 759,-0.1302946139476262,1
5,MACARON 759,-0.11863714647915913,1
6,MACARON 759,-0.1246988270431757,1
7,T 77 GG,-0.644827134165098,1
8,T ILL 99 66,-0.6056226279470138,1
9,T GG771,-0.6008648866001749,1
10,T OP 718,-0.7303585962751337,1
11,T OF 718,-0.7892570531839738,1
12,T DE 718,-0.7893277135056754,1
13,T OP 718,-0.7266998302705664,1
14,22 75 93,-0.028767171086656163,1
15,22 75 93,-0.024592791726414966,1
16,7242 Z M B,-0.4315342404103527,1
17,7242 Z 93 6,-0.2944911831446613,1
18,285 B 0,-0.5770726113114506,1
19,285 972,-0.49839138821698725,1
20,285 B 6,-0.3213579070288688,1
21,625 V,-0.1540965677559143,1
22,625 V,-0.10744210307893809,1
23,625 V 5,-0.27592817482945975,1
24,M B 724 2,-0.3181301922304556,1
25,M B Z Z Z 726 Z,-0.4534259469106069,1
26,7325 93,-0.07660916598979384,1
27,7325 9 3,-0.043220002684392966,1
28,G3 RE 79,-0.7318056539496561,1
29,G3 RE 79,-0.737796739632419,1
30,G3 RE 79,-0.7348214680600601,1
31,G3 RE 79,-0.7383020115531205,1
32,G 2 500 MG,-0.3793239874066785,1
33,G R 2,-0.5862619831459597,1
34,LAMICTAL XR 50 T,-0.6345949059986096,1
35,MACARON 93 107,-0.1667976050105478,1
36,100 A LEGAL,-0.39249905468022916,1
37,100 4364,-0.0768011686304817,1
38,100 4364,-0.06139875058142934,1
39,NC 200 G3,-0.4871765600728395,1
40,NC 200 G342,-0.6621605023331844,1
41,TEVA 4365,-0.018177278130315243,1
42,TEVA 435,-0.26723740447778255,1
43,Z 2083 T,-0.8374409259122331,1
44,15 A,-0.1844286605482921,1
45,LAMICTAL XR 50 T,-0.6324757296242751,1
46,93 7369,-0.01633419986270989,1
47,93 7369,-0.012710223595301311,1
48,T 12,-0.1733782325560848,1
49,G34 PAN 5,-0.9754462463781237,1
50,G34 PAN 5,-0.9800060271518305,1
51,G34 PAN 5,-0.8530837448313833,1
52,G342 4356 20 MG,-0.6465664182485651,1
53,N AMOX 250 GG 848,-0.6288464496965389,1
54,RED 347 3147,-0.68836775873529,1
55,RED 93 3147 93 3147,-0.5646705339011078,1
56,RED 83 3147 93 3147,-0.5878999371657301,1
57,285 B 0,-0.5694400789579959,1
58,285 972,-0.4907588558635325,1
59,285 B 6,-0.31372537467541406,1
60,93 5 G3,-0.6744548832415603,1
61,93 5 G3,-0.7101139778931005,1
62,93 LL77,-0.4180127918953076,1
63,93 7477,-0.258994033630006,1
64,9 3 72 54,-0.0414454210307061,1
65,9 3 1254,-0.1163026056237868,1
66,93 5 G3,-0.6740705573000014,1
67,93 5 G3,-0.7097296519515416,1
68,PLIVA 1111 50 50,-0.3888258151300761,1
69,G342 AMOX 250 GG 848,-0.6129009163129012,1
70,7234 93,-0.020676344458479434,1
71,7234 93,-0.019777094615468137,1
72,713 9,-0.5086715682409704,1
73,713 B,-0.08859956590458751,1
74,200 BAYER,-0.07941970914059009,1
75,200 BAYER,-0.06683400399439657,1
76,T 1 93 3729 93 3129,-0.8879969055863057,1
77,T 1 3129,-1.0373495212057606,1
78,T 1 93 3129,-0.9027878400011105,1
79,688 8,-0.7702867272018921,1
80,688 93,-0.12348943433607928,1
81,B 941,-0.04825794178759679,1
82,B 941,-0.048019187757745385,1
83,L M M 3,-0.534186761903887,1
84,L M M,-0.21022885172472647,1
85,L M M,-0.20300918866026527,1
86,385 G3,-0.6147784875938669,1
87,C 30 T,-1.0425710602663458,1
88,C 30 T 1,-0.9880376829765737,1
89,M 411 T 1,-0.7900737373784068,1
90,93 LL77,-0.17931945944049707,1
91,93 7477,-0.020300701175195474,1
92,4365 TEVA,-0.017241095604064564,1
93,4365 TEVA,-0.01649539348630545,1
94,T C 10,-0.9042770069325343,1
95,WARFARIN TARO 44,-0.43947640729588566,1
96,MP 85 G3,-0.5760192090587225,1
97,N MYLAN 2537,-0.6374971337909301,1
98,V 625,-0.15342877854345716,1
99,TEA LIGHT LAMICTAL XR 50,-0.3962406212877896,1
100,TEA LIGHT LAMICTAL XR 50,-0.39766629106856677,1
101,TEA LIGHT LAMICTAL XR 50,-0.3908754414846448,1
102,TV 7293,-0.05106565253809094,1
103,TV 7296,-0.01613229752983898,1
104,TV 7296,-0.08826041091233491,1
105,M 411 T 1,-0.7900998263551932,1
106,T RDY 344,-0.9025040964022212,1
107,T B,-1.805802583694458,1
108,T RDY 344,-0.908764218437552,1
109,T RDY 644,-0.9930254154293964,1
110,G 5008 T,-0.5190873579828933,1
111,G 5008 HEX,-0.5080358658382292,1
112,MACARON M N3,-0.3508397848927416,1
113,MACARON M N 3,-0.2293901427881792,1
114,93 7369,-0.026203154714312404,1
115,93 7369,-0.022579178446903825,1
116,LL77 93,-0.1834216604086881,1
117,V 625,-0.10677431386648095,1
118,TEVA 4068 T 1,-0.8922403123438016,1
119,G342 TEVA 4067,-0.6356116633768579,1
120,G342 TEVA 4067,-0.6557033943194256,1
121,100 MG G3,-0.7079945387328431,1
122,100 MG T,-0.6541279784723883,1
123,44 WARFARIN TARO,-0.43470857490596937,1
124,54 602 54 602 TURQUOISE,-0.4671080489674967,1
125,PLIVA 8232 T,-0.7719691472475461,1
126,T 12,-0.1775421068693201,1
127,TEVA 7671 N,-0.6574294912325058,1
128,TEVA 7671 B 1,-0.7320083487475131,1
129,B 6 208,-0.19958495860919356,1
130,B 6 208,-0.23349802507436834,1
131,G 5008 T,-0.6027140128904388,1
132,G 5008 HEX,-0.5916625207457747,1
133,244 G,-0.31156010180711746,1
134,244 G,-0.1735776737332344,1
135,24 4 G,-0.3281201088801026,1
136,24 4 G,-0.19013768080621957,1
137,M N3 MACARON,-0.22279699781211093,1
138,TEVA 4088 T 1,-0.9137221694077198,1
139,TEVA 771,-0.16631082293073027,1
140,TEVA 771,-0.15670598751360862,1
141,TEVA 771,-0.15774255792105882,1
142,TEVA 771,-0.15647730159010584,1
143,9 3 72 54,-0.04944887971699548,1
144,9 3 1254,-0.12430606431007618,1
145,93 7364,-0.057573684615393486,1
146,LL C04,-0.09862162781064399,1
147,U 1 772,-0.37192831456195563,1
148,U 1 712,-0.24516862972086528,1
149,U 1 Z12,-0.6486709555611014,1
150,BARR 834 7 1 2,-0.06124963471762991,1
151,BARR 634 7 1 2,-0.11411894633589934,1
152,9 3 7365,-0.12193995169363916,1
153,9 3 7365,-0.1288419470889494,1
154,MYLAN 3205 N,-0.7351127275323961,1
155,7772 100,-0.060087845512316565,1
156,7772 100,-0.05958735406311462,1
157,135 G342,-0.7371432457468472,1
158,B12 140,-0.06598890844543348,1
159,B12 140,-0.06448085295050987,1
160,B12 40,-0.1476628439255971,1
161,G342 4356 20 MG,-0.7127326403440546,1
162,TEVA 149,-0.007094848066723595,1
163,TEVA 149,-0.007929879759709973,1
164,B 6 941,-0.1122974554891698,1
165,B 6 941,-0.1120587014593184,1
166,B 859,-0.04003419454966206,1
167,1177 93,-0.01131248294453447,1
168,1177 93,-0.012765360402408988,1
169,93 61 G3,-0.7227479228264807,1
170,LL C04,-0.09624525866820477,1
171,TEVA 435,-0.2663012219515319,1
172,941 G342,-0.5261375016882084,1
173,9 7 3,-0.6779570947401226,1
174,9 713,-0.5095195356698241,1
175,NVR U 1,-0.2473415337347736,1
176,T LAMICTAL XR 50,-0.6106642609876063,1
177,T LAMICTAL XR 50,-0.6120899307683835,1
178,T LAMICTAL XR 50,-0.6052990811844615,1
179,93 7385 93 7385 G342,-0.6053886048839103,1
180,93 7385 93 7385 G342,-0.6943082917824995,1
181,TV 7153,-0.0682862518588081,1
182,TV 7153,-0.040020714409183714,1
183,T RX829,-0.7135524210170843,1
184,T 929,-0.9956000559031963,1
185,T 829,-0.8770318798342487,1
186,TV TV L2 L2,-0.023779234635488443,1
187,TV TV LL2,-0.1797460198091964,1
188,TEVA 4068 T 1,-0.8927906968197021,1
189,PLIVA 111 L2 L2,-0.48980434539095896,1
190,PLIVA 111 LL2,-0.645771130564667,1
191,OP 703 T,-0.6193171673512552,1
192,S L,-0.5673203887417912,1
193,S MACARON,-0.22245067282347009,1
194,S MACARON,-0.22599360946333036,1
195,347 3147 RED,-0.7530248806320338,1
196,B 375 73 100,-0.6924067315135506,1
197,B 375 7300,-0.6860624533767501,1
198,T GG2674,-0.5801585510489531,1
199,T GG264,-0.5179888896178454,1
200,T GG264,-0.5151856279699132,1
201,PLIVA 324 E,-0.7219374240308493,1
202,PLIVA 324 T,-0.6672173798948019,1
203,Z169 93,-0.11642026223319893,1
204,Z169 93,-0.11805599566238623,1
205,72 54 9 3,-0.05502238381935361,1
206,40 Z 4236,-0.09216658354991869,1
207,APPLE 93 1060,-0.9778251604384423,1
208,APPLE 93 1050,-0.9983505960044567,1
209,2 500 MG G,-0.43401723995339125,1
210,2 500 MG G,-0.4352915300987661,1
211,M 411 T 1,-0.7896355472403229,1
212,93 7369,-0.016475546457028638,1
213,93 7369,-0.012851570189620059,1
214,Z 2083 T,-0.871082790985903,1
215,G3 SA 50,-0.39314573017084814,1
216,G3 SA 50,-0.38826991317813125,1
217,G3 SA 50,-0.3886554885995186,1
218,7234 93,-0.15276133283041418,1
219,7234 93,-0.1518620829874029,1
220,G3 MP 85,-0.5725483063812135,1
221,G3 MP 85,-0.5719461384869646,1
222,TEVA 7442 G342,-0.7026135318779779,1
223,PAL 6 T,-0.7085253552068025,1
224,93 2263,-0.0335309902826945,1
225,7219 93 6,-0.31983866419177504,1
226,7219 93,-0.014701928213859598,1
227,MX31 T,-0.7865829135553213,1
228,MX31 T,-0.6462357606069418,1
229,5172 93,-0.08142652517223421,1
230,5172 93,-0.02445560351673824,1
231,25 MG G3,-0.7109342809320273,1
232,25 MG E,-0.7580823397438508,1
233,G343 E 6,-0.5846040448290296,1
234,G343 M B,-0.7423620387911797,1
235,7772 100,-0.07078193222696427,1
236,7772 100,-0.07028144077776233,1
237,93 900 E 1,-0.6570658399432432,1
238,SB L 4,-0.15094164910260588,1
239,SB G 1,-0.32400899997446686,1
240,SB I 1,-0.27303532289806753,1
241,7477 93,-0.0244029021433865,1
242,PA46 L,-0.5809926376896328,1
243,PA46 G3,-0.6195034470316992,1
244,463 9 3,-0.02336044949333882,1
245,463 9 3,-0.02411793101055082,1
246,E 6 4742,-0.1956527887028642,1
247,E 6 4742,-0.16389933574246243,1
248,0 T,-1.1612375304102898,1
249,77 GG E 1,-0.6543636333226459,1
250,G3 NC 200,-0.48301947211924323,1
251,G3 NC 200,-0.48402187495836796,1
252,MYLAN 3205 N,-0.605297463417628,1
253,B 1 WATSON 388,-0.669100211289333,1
254,B 1 WATSON 323,-0.6842419170061476,1
255,B 1 WATSON 388,-0.7175220911922224,1
256,T MP 35,-0.5065122207161039,1
257,T SC 35 MP,-0.6447991888174632,1
258,T MP 35,-0.5058741727261804,1
259,100 442,-0.32800023224262986,1
260,8 688,-0.6732743362517795,1
261,5897 93 657,-0.5018308867010222,1
262,TEVA 4067 T,-0.7160516634489795,1
263,951 B 0,-0.28218885326350573,1
264,951 G3,-0.5990867701815054,1
265,T ZEPHYR 328,-1.046061726493968,1
266,T PLIVA 328,-0.7388062468380667,1
267,T PLIVA 328,-0.7137694220041989,1
268,C04 LL,-0.09724219198687933,1
269,C04 LL,-0.16766535965143703,1
270,9 3 463,-0.02028213162702741,1
271,9 3 463,-0.021285925460688304,1
272,TEVA 7442 G342,-0.7030791705516094,1
273,5729 TEVA,-0.05973124125351509,1
274,5729 TEVA,-0.05369951197256645,1
275,TEVA 7871 N,-0.6678390309898532,1
276,TEVA 7871 B 1,-0.7424178885048605,1
277,B 859,-0.09098673153494019,1
278,N TEVA 7671,-0.6577895992022604,1
279,5215 9 3,-0.033694753708550705,1
280,5215 93,-0.12075328957289458,1
281,93 S172,-0.12128355447590972,1
282,G R 2,-0.6409552356926724,1
283,EPITEL 93 93,-0.29204480714543024,1
284,EPITEL 93 93,-0.27541127332127263,1
285,93 135,-0.014942688683125501,1
286,93 135,-0.014449369327242797,1
287,T 12,-0.263847788485388,1
288,M 495 T,-0.3585465330531103,1
289,93 4 L,-0.6684260982088744,1
290,93 4 PHILADELPHIA,-0.34648713037562895,1
291,T MX31,-0.768146725196857,1
292,93 657 93 657,-0.059553067326695394,1
293,93 657 657 83,-0.18716847900317848,1
294,TEVA 1084 7238,-0.3626031378575135,1
295,TEVA 1084 7238,-0.3031357401108835,1
296,834 7 1 2 BARR,-0.04139996258018073,1
297,834 7 1 2 BARR,-0.04637465641620414,1
298,7325 93,-0.06701874340651556,1
299,7325 9 3,-0.0336295801011147,1
300,93 7364,-0.07781197857111692,1
301,149 TEVA,-0.007994219098084916,1
302,149 TEVA,-0.008700893648589652,1
303,ILL 99 66 E 1,-0.6151591271045618,1
304,G 022 5,-0.02161812388415759,1
305,G 022 5,-0.025250155498118453,1
306,G 022 5,-0.0454724813074184,1
307,7293 TV,-0.0512994778342545,1
308,E 1 93 900,-0.6495453743835762,1
309,E 1 93 900,-0.648369795625123,1
310,E 1 93 906,-0.8112384507299534,1
311,200 BAYER,-0.08106660351283305,1
312,200 BAYER,-0.06848089836663954,1
313,5 G 022,-0.04332250233953042,1
314,93 610 G3,-0.7371486819715106,1
315,BAYER 200,-0.0800166841315028,1
316,N MYLAN 3205,-0.6051668533764314,1
317,N MYLAN 3205,-0.6049521019522217,1
318,135 93,-0.24821509712880166,1
319,1 WATSON 388,-0.6036978078154789,1
320,1 WATSON 323,-0.6188395135322935,1
321,1 WATSON 388,-0.6521196877183684,1
322,53 T,-0.7329608270277579,1
323,PLIVA 441 50 50,-0.12396776252990094,1
324,149 TEVA,-0.008829250791071292,1
325,149 TEVA,-0.009535925341576029,1
326,93 233,-0.01316088296395416,1
327,93 233,-0.013655409430308888,1
328,B 1 GX CE2,-0.7236476615362335,1
329,B 1 GXCF3,-1.0428245081566274,1
330,93 29 G342,-0.6194632217404432,1
331,E PLIVA 324,-0.7033542853064968,1
332,E PLIVA 324,-0.7025799055528685,1
333,7365 9 3,-0.035160501350765115,1
334,G342 TEVA 7442,-0.7022379446058039,1
335,G342 TEVA 7442,-0.7029340048535232,1
336,MX31 T,-0.6277995722484775,1
337,T 1 TEVA 4068,-0.891230701456152,1
338,Z 4236 40,-0.06646362904714243,1
339,Z 4236 40,-0.04980992767516346,1
340,Z 4236 40,-0.05480122160848363,1
341,RED 93 3147 93 3147,-0.6293276557978515,1
342,RED 83 3147 93 3147,-0.6525570590624739,1
343,7169 93,-0.011256940775395682,1
344,7169 93,-0.012892674204582968,1
345,DP T,-0.8416538406163454,1
346,DP 437,-0.4089964274317026,1
347,TEVA 10 22,-0.07499517835094593,1
348,TEVA 22 10,-0.013197742774840057,1
349,L 93 41,-0.5829141435679048,1
350,7182 93,-0.0123907674724857,1
351,7182 93,-0.010856368904933333,1
352,7182 93,-0.011139174046305319,1
353,BARR 635 G342,-0.6676869092313739,1
354,7 3 B,-0.2578850924037397,1
355,B 987,-0.03116491223045159,1
356,B 987,-0.0325968679971993,1
357,B 987,-0.03343296318780631,1
358,G342 M B1,-0.6927534710674081,1
359,A 15,-0.18123135009470084,1
360,A 15,-0.18227103701792657,1
361,A 57,-0.7639794846375784,1
362,93 132,-0.023637266344546028,1
363,G342 BARR 323 25,-0.5507630282314495,1
364,G342 323 25,-0.5826932591186571,1
365,G342 BARR 323 25,-0.5468563497182913,1
366,TEVA 7201,-0.11476011251603875,1
367,TEVA 720,-0.1280324921341768,1
368,TEVA 7201,-0.09861551063174072,1
369,MP 51 T,-0.7056563533144071,1
370,93 61 G3,-0.7220050642936258,1
371,TEVA 435,-0.26555551983377274,1
372,G3 TCR 1,-0.7351157131139189,1
373,G3 TCR 1,-0.7144586927141063,1
374,G3 TCR 1,-0.7140373784000985,1
375,G3 TCR 1,-0.7137958100996912,1
376,93 83,-0.017737801419571042,1
377,93 83,-0.41078802780248225,1
378,BARR 635 G342,-0.6689146956383151,1
379,RX829 E 1,-0.52206292754272,1
380,T G 5008,-0.5268686056141243,1
381,463 9 3,-0.02103961314423941,1
382,BARR 634 7 1 2,-0.09426927419845015,1
383,TV 7153,-0.0663107360014692,1
384,TV 7153,-0.03804519855184481,1
385,100 335 86,-0.3766521371102759,1
386,100 GG335,-0.07880879909498617,1
387,724 2 93 6,-0.1810871349647641,1
388,G342 PLIVA 518,-0.5242858106407636,1
389,G342 PLIVA 516,-0.5331624872142648,1
390,9 3 5215,-0.03090967778698541,1
391,MACARON M N 3,-0.10134735570754856,1
392,TV U2 10,-0.028547611844260246,1
393,TV U2 10,-0.023091624277488638,1
394,TV U2 10,-0.022943792719161138,1
395,T DP,-0.8552627828903496,1
396,7168 E 6,-0.40606521163135767,1
397,7168 9 3,-0.29962218724540435,1
398,4097 TV,-0.02018790333822835,1
399,B 987,-0.05547415623732377,1
400,B 987,-0.056906112004071474,1
401,B 987,-0.057742207194678485,1
402,93 5 G3,-0.6742223673383705,1
403,93 5 G3,-0.7098814619899106,1
404,SA 602 TURQUOISE,-0.5478437529139532,1
405,11111111111111111111111111111111 008,-0.3001138883992098,1
406,11111111111111111111111111111111 800,-0.21771879318839638,1
407,11111111111111111111111111111111 800,-0.2172052063215233,1
408,93 7325,-0.07477477733045816,1
409,N 06,-0.6882251172792166,1
410,N 06,-0.8307669325731695,1
411,TEVA 4067 T,-0.7361433943915472,1
412,93 7437 93 7437 G342,-0.5906135456099492,1
413,93 7437 93 7437 B 1,-0.797765428332923,1
